timems,x,y,theta,vx,vy
1464190829784,-0.01529049500823021,-0.0010652451310306787,6.192047119140625,0.0004458999610505998,-0.011161886155605316
1464190829784,-0.015100914053618908,-0.0010825712233781815,6.192231178283691,0.00041556122596375644,-0.011087503284215927
1464190829813,-0.014860937371850014,-0.0011044584680348635,6.193580150604248,0.0005565794999711215,-0.01042298786342144
1464190829825,-0.014518353156745434,-0.0011352382134646177,6.1928229331970215,0.0006258264766074717,-0.010363615117967129
1464190829825,-0.014547595754265785,-0.0011325886007398367,6.192582607269287,0.0004067877307534218,-0.009871026501059532
1464190829826,-0.014545309357345104,-0.001132796285673976,6.193157196044922,0.00043560517951846123,-0.009537518955767155
1464190829850,-0.014515559189021587,-0.0011354819871485233,6.193016529083252,0.0004729562788270414,-0.009688450954854488
1464190829863,-0.014572717249393463,-0.001130314078181982,6.192352771759033,0.0004755355475936085,-0.009815447963774204
1464190829863,-0.014636333100497723,-0.00112451973836869,6.191788673400879,0.000477362860692665,-0.009937291964888573
1464190829863,-0.014743858948349953,-0.0011146648321300745,6.191330432891846,0.00046237773494794965,-0.01002005860209465
1464190829903,-0.014761160127818584,-0.0011130712227895856,6.1913862228393555,0.0005066795856691897,-0.009822674095630646
1464190829914,-0.014852303080260754,-0.001104680821299553,6.193295955657959,0.00034342901199124753,-0.008832092396914959
1464190829914,-0.01500055380165577,-0.0010913186706602573,6.192463397979736,0.0002418208314338699,-0.009537960402667522
1464190829936,-0.014827221632003784,-0.0011070870095863938,6.19222354888916,0.0004336000420153141,-0.009793653152883053
1464190829954,-0.014437279663980007,-0.0011426550336182117,6.191559314727783,0.0007818621234036982,-0.010083247907459736
1464190829963,-0.014186021871864796,-0.001165741472505033,6.191713809967041,0.0008664600318297744,-0.009806116111576557
1464190829964,-0.014016042463481426,-0.0011813333258032799,6.191823482513428,0.0008761286735534668,-0.010310106910765171
1464190829990,-0.01397328544408083,-0.0011852505849674344,6.191526889801025,0.0009028369095176458,-0.009912822395563126
1464190830000,-0.01404960174113512,-0.0011782359797507524,6.19080924987793,0.0008657050202600658,-0.010055750608444214
1464190830000,-0.014110463671386242,-0.0011725977528840303,6.190370082855225,0.000855357269756496,-0.010353507474064827
1464190830000,-0.014086146838963032,-0.0011748612159863114,6.190310478210449,0.0008576154359616339,-0.009960833005607128
1464190830016,-0.014114786870777607,-0.0011721935588866472,6.1897053718566895,0.0008620799635536969,-0.010157345794141293
